priority,category_type,issue,idx,date,amount,merchant,receipt_total,receipt_merchant,receipt_date,ai_confidence,review_status,receipt_url,notes
OK,VERIFIED_MATCH,PERFECT MATCH,654,2025-04-24,$21.95,CLAUDE.AI SUBSCRIPTION,21.95,"Anthropic, PBC",2025-04-23,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-04-24_21_95.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,652,2025-04-22,$9.00,HUGGINGFACE,9.00,Hugging Face Inc,2025-04-21,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-04-22_9_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,641,2025-04-14,$10.00,CLOUDFLARE,10.00,CLOUDFLARE,2025-04-14,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-04-14_10_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,636,2025-04-13,$25.05,DD *DOORDASH BROTHERSP,25.05,Brother's Pizza,2025-04-12,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_brothersp_2025-04-13_25_05_3.jpg,
OK,LIKELY_MATCH,Good match (conf: 85%),639,2025-04-13,$9.00,SOURCEGRAPH INC,9.00,"Sourcegraph, Inc.",2024-11-13,85%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-04-13_9_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,631,2025-04-12,$11.27,TST*WHITE RHINO COFFEE -,11.27,YCV VF,,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstwhite_rhino_coffee_2025-04-12_11_27.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,629,2025-04-12,$318.28,KIT.COM,318.28,Kit,2025-04-12,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/kitcom_2025-04-12_318_28.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,627,2025-04-11,$21.00,METROPOLIS PARKING,21.00,metropolis,2025-04-10,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-11_21_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,621,2025-04-08,$10.00,CALENDARBRIDGE,10.00,CalendarBridge,2025-04-08,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-04-08_10_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,623,2025-04-08,$92.19,TOPAZ LABS SOFTWARE,92.19,Topaz Labs,2025-04-08,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/topaz_labs_software_2025-04-08_92_19.jpg,
OK,LIKELY_MATCH,Good match (conf: 80%),622,2025-04-08,$13.13,SPOTIFY USA,13.13,SPOTIFY USA,2025-05-08,80%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-04-08_13_13_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,618,2025-04-07,$20.00,CURSOR AI POWERED IDE,20.00,Cursor,2025-04-07,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_ai_powered_ide_2025-04-07_20_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,607,2025-04-02,$109.75,ANTHROPIC,109.75,"Anthropic, PBC",2025-04-02,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-04-02_109_75.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,608,2025-04-02,$27.44,ANTHROPIC,27.44,"Anthropic, PBC",2025-04-02,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-04-02_27_44.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,604,2025-04-01,$27.44,ANTHROPIC,27.44,"Anthropic, PBC",2025-04-01,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-04-01_27_44.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,605,2025-04-01,$19.76,EXPENSIFY INC.,19.76,Expensify,2025-04-01,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-04-01_19_76_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,602,2025-03-31,$21.00,METROPOLIS PARKING,21.00,metropolis,2025-03-31,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-31_21_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,603,2025-03-31,$36.88,SH NASHVILLE F&AMP;B,36.88,Soho House Nashville,2025-03-15,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2025-03-31_36_88.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,600,2025-03-30,$32.93,MIDJOURNEY INC.,32.93,Midjourney Inc,2025-03-29,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-03-30_32_93.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,598,2025-03-29,$47.88,ELEMENTOR.COM,47.88,Elementor Ltd.,,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/elementor-invoice-ZINV00318467.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,593,2025-03-25,$30.73,PMC - PAID PARKING,30.73,PMC PARKING,2025-03-25,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-03-25_30_73.png,
OK,VERIFIED_MATCH,PERFECT MATCH,590,2025-03-25,$66.83,12 SOUTH TAPROOM &AMP; GRILL,66.83,12 South Taproom,2025-03-25,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2025-03-25_66_83.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,592,2025-03-25,$48.00,OBSIDIAN.MD,48.00,Obsidian,2025-03-25,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/obsidianmd_2025-03-25_48_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,587,2025-03-24,$21.95,CLAUDE.AI SUBSCRIPTION,21.95,"Anthropic, PBC",2025-03-23,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-03-24_21_95.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,588,2025-03-24,$26.65,DD *DOORDASH SHIPLEYDO,26.65,Shipley Donuts,2025-03-23,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_shipleydo_2025-03-24_26_65.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,580,2025-03-21,$9.00,HUGGINGFACE,9.00,Hugging Face Inc,2025-03-20,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-03-21_9_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,572,2025-03-13,$36.75,METROPOLIS PARKING,36.75,Metropolis,2025-03-12,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-13_36_75_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,570,2025-03-11,$20.00,CURSOR USAGE MID MAR,20.00,Cursor,,100%,GOOD,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-11_20_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,567,2025-03-08,$10.00,CALENDARBRIDGE,10.00,CalendarBridge,2025-03-08,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-03-08_10_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,568,2025-03-08,$13.13,SPOTIFY USA,13.13,Spotify USA Inc.,2024-07-08,90%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-03-08_13_13_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,566,2025-03-07,$4.88,LAZ PARKING M32180-FLOWB,4.88,Nashville,2025-03-07,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32180_flowb_2025-03-07_4_88.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,558,2025-03-06,$26.18,PMC - PAID PARKING,26.18,PMC PARKING,2025-03-06,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-03-06_26_18.png,
OK,VERIFIED_MATCH,PERFECT MATCH,559,2025-03-06,$29.63,PMC - PAID PARKING,29.63,PMC - PAID PARKING,,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-03-06_29_63.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,560,2025-03-06,$49.31,SH NASHVILLE - OTHER,49.31,Soho House Nashville,2025-03-06,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-03-06_49_31.PNG,
OK,LIKELY_MATCH,Close match: $3.68 vs $3.15 (diff: $0.53),554,2025-03-03,$3.68,CURSOR USAGE FEB,3.15,cursor usage jan,2025-02-03,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_feb_2025-03-03_3_68.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,549,2025-02-28,$9.73,METROPOLIS PARKING,9.73,Metropolis,2025-02-28,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-02-28_9_73_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,550,2025-02-28,$32.93,MIDJOURNEY INC.,32.93,Midjourney Inc,2025-02-27,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-02-28_32_93.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,543,2025-02-26,$65.36,CORNER PUB,65.36,The Original Corner Pub,2025-02-26,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2025-02-26_65_36.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,546,2025-02-26,$15.99,METROPOLIS PARKING,15.99,Metropolis,2025-02-26,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-02-26_15_99.jpg,
OK,LIKELY_MATCH,Good match (conf: 85%),547,2025-02-26,$85.64,SH NASHVILLE - OTHER,85.22,Soho House Nashville,2024-06-11,85%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-02-26_85_64.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,541,2025-02-25,$49.61,TST* BOOTLEGGERS INN,49.61,Bootleggers Inn,2025-02-25,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_bootleggers_inn_2025-02-25_49_61.jpg,
