status,date,amount,merchant,receipt_url,your_decision
MISMATCH,2025-04-04,$37.63,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-04_37_63.jpg,
MISMATCH,2025-03-28,$299.88,ELEMENTOR.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/elementorcom_2025-03-28_299_88.jpg,
MISMATCH,2025-03-28,$20.00,CURSOR USAGE MID MAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-28_20_0.jpg,
MISMATCH,2025-03-11,$20.00,CURSOR USAGE MID MAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-11_20_0.jpg,
MISMATCH,2025-03-09,$112.84,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-03-09_112_84.jpg,
MISMATCH,2025-03-06,$30.92,TST* JUST LOVE COFFEE - M,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_just_love_coffee_m_2025-03-06_30_92.jpg,
MISMATCH,2025-03-03,$3.68,CURSOR USAGE FEB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_feb_2025-03-03_3_68.jpg,
MISMATCH,2025-02-11,$44.75,ARTHOUSE HOTEL NEW YORK C,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/arthouse_hotel_new_york_c_2025-02-11_44_75_3.jpg,
MISMATCH,2025-02-07,$38.73,FIRST WATCH - 0462,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/first_watch_0462_2025-02-07_38_73.jpg,
MISMATCH,2025-02-07,$12.35,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-02-07_12_35.png,
MISMATCH,2025-02-05,$8.40,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-02-05_8_40.jpg,
UNCLEAR,2025-08-09,$40.39,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-08-09_40_39_3.jpg,
UNCLEAR,2025-04-30,$7.67,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-30_7_67.PNG,
UNCLEAR,2025-04-29,$20.00,CURSOR USAGE MID APR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_apr_2025-04-29_20_00.jpg,
UNCLEAR,2025-04-06,$20.00,CURSOR USAGE MID APR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_apr_2025-04-06_20_0.jpg,
UNCLEAR,2025-03-31,$20.00,CURSOR USAGE MID MAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-31_20_0.jpg,
UNCLEAR,2025-03-20,$20.00,CURSOR USAGE MID MAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-20_20_0.jpg,
UNCLEAR,2025-02-26,$20.00,CURSOR USAGE MID FEB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_feb_2025-02-26_20_0.jpg,
UNCLEAR,2025-02-25,$44.25,SHOEBOXED.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/shoeboxedcom_2025-02-25_44_25_3.jpg,
UNCLEAR,2025-01-25,$44.25,SHOEBOXED.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/shoeboxedcom_2025-01-25_44_25.jpg,
