id,date,bank_description,amount,merchant,description,status,receipt_url
498,2024-07-02,LYFT *RIDE TUE 4AM,103.99,Lyft,Lyft from Flora-Bama to Mobile Airport - returning from Alabama trip,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/498_lyft_2024-07-02_103_98.jpg
17,2024-07-05,APPLE.COM/BILL,21.94,Apple Store,Apple - ChatGPT Plus (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/17_apple_2024-07-04_21_94.jpg
19,2024-07-06,DISCO,82.32,DISCO,Glen Lake - Event planning meeting with Rachel,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/19_disco_2024-07-06_82_31.jpg
20,2024-07-08,CALENDARBRIDGE,10.00,CalendarBridge,CalendarBridge - Calendar sync across accounts (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/20_calendarbridge_2024-07-08_10_00.jpg
507,2024-07-08,SPOTIFY USA,13.13,Spotify,Spotify Premium - Music research and industry tracking (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/507_spotify_2024-07-08_13_13.jpg
21,2024-07-10,MIDJOURNEY INC.,10.98,Midjourney Inc,Midjourney - Marketing - creative - pitch decks (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/21_midjourney_inc_2024-07-10_10_98.jpg
1623,2024-07-12,PMC - PAID PARKING,9.29,PMC,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1623_pmc_paid_parking_2024-07-12_9_29.jpg
24,2024-07-14,TST* IL FORNO PIZZERIA,168.87,Il Forno Pizzeria,Il Forno Pizzeria - Dinner with Rachel - Alix Colby Teppel,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/24_il_forno_pizzeria_2024-07-14_140_87.jpg
510,2024-07-14,CLOUDFLARE,5.00,Cloudflare,Cloudflare - CDN and DNS for Down Home websites (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/510_cloudflare_2024-07-14_5_00.jpg
25,2024-07-15,CLEAR *CLEARME.COM,12.62,CLEAR,TSA CLEAR - Expedited airport security,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/25_clear_2024-07-04_12_61.png
4335,2024-07-15,APPLE.COM/BILL,15.99,Apple,Apple - Apple Music Individual (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4335_apple_apple_music_individual_2024-07-15_15_99.png
27,2024-07-17,APPLE.COM/BILL,17.55,Apple Store,Apple - Contacts App Premium (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/27_app_store_2024-07-14_17_55.jpg
28,2024-07-17,DD *DOORDASH KALAMATAS,94.22,Kalamata's,Kalamatas - Lunch with Rachel - Kevin Sabbe,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/28_kalamata_s_2024-07-16_94_21.jpg
29,2024-07-17,LAZ PARKING M32810,5.00,LAZ Parking,LAZ Parking - Business parking,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/29_laz_parking_m32810_2024-07-17_5_00.png
30,2024-07-17,METROPOLIS PARKING,11.32,17th & Grand,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/30_metropolis_parking_2024-07-17_11_32.jpg
31,2024-07-17,METROPOLIS PARKING,4.49,Metropolis,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/31_metropolis_2024-07-17_4_49.jpg
32,2024-07-17,METROPOLIS PARKING,7.55,Icon Garage,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/32_metropolis_parking_2024-07-17_7_54.jpg
33,2024-07-19,AUDREY - SEAN BROCK GROU,1487.80,Audrey & June,Audrey (Sean Brock) - Betty Project dinner,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/33_audrey_june_2024-07-18_1487_79.png
35,2024-07-22,PARK HAPPY LLC,8.15,PARK HAPPY LLC,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/35_park_happy_llc_2024-07-22_8_84.jpg
525,2024-07-22,APPLE.COM/BILL,54.86,Apple,Apple - NordVPN (Annual),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/525_apple_com_bill_2024-07-21_54_85.jpg
37,2024-07-24,CLAUDE.AI SUBSCRIPTION,21.95,Anthropic,Claude AI - AI assistant for content creation and coding (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/37_claude_pro_2024-07-23_21_94.jpg
38,2024-07-25,CHAR GREEN HILLS,43.60,Char-Nashville,Char Nashville - Lunch with Ken Larish (Real Estate),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/38_char_nashville_2024-07-25_36_60.jpg
39,2024-07-25,PARK HAPPY LLC,8.85,Park Happy LLC,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/39_park_happy_llc_2024-07-25_8_84.jpg
40,2024-07-25,PMC - PAID PARKING,9.29,PMC,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/40_pmc_paid_parking_2024-07-25_9_28.jpg
41,2024-07-25,ROSTR PRO,50.00,ROSTR  Inc,Rostr Pro - Music industry CRM and contacts (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/41_rostr_inc_2024-07-25_50_00.jpeg
42,2024-07-26,IMDBPRO,19.99,IMDb.com  Inc.,IMDb Pro - Film/TV industry database (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/42_imdbpro_2024-07-26_19_98.png
43,2024-07-26,PARK HAPPY LLC,8.85,Park Happy,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/43_park_happy_2024-07-26_8_84.jpg
44,2024-07-26,SH NASHVILLE - OTHER,9.05,Soho House Nashville,Soho House Nashville - Meeting with Tim Staples (Shareability),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/44_soho_house_nashville_2024-07-26_9_05.jpg
45,2024-07-27,APPLE.COM/BILL,40.33,Apple,Apple - Apple One Monthly,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/45_apple_com_services_2024-07-27_40_32.jpg
46,2024-07-28,CARTA NORTH GARAGE,11.00,FLASH,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/46_flash_carta_north_2024-07-28_11_00.jpg
47,2024-07-29,PARKING MANAGEMENT CO.,8.00,1201 Garage,Parking - Meeting with Patrick Humes (Music City Rodeo),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/47_1201_garage_2024-07-29_8_00.jpg
48,2024-07-30,METROPOLIS PARKING,15.99,Metropolis,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/48_metropolis_2024-07-30_15_99.jpg
49,2024-07-30,SH NASHVILLE - OTHER,24.91,Soho House Nashville,Soho House Nashville - Meeting with Dawn Gates (UMG),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/49_soho_house_nashville_2024-07-30_24_91.jpg
50,2024-07-31,APPLE.COM/BILL,19.99,Apple,Apple - ChatGPT Plus (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/50_app_store_2024-07-30_23_14.png
51,2024-08-01,EXPENSIFY INC.,19.76,Expensify,Expensify - Expense tracking and reporting (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/51_expensify_2024-08-01_19_76.jpg
52,2024-08-01,METROPOLIS PARKING,15.99,Metropolis,Parking - Meeting with Michael Gray (CMHOF),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/52_metropolis_2024-08-01_15_99.jpg
545,2024-08-01,SH NASHVILLE F&B,22.28,Soho House Nashville,Soho House Nashville - Breakfast with Michael Gray (CMHOF),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/545_soho_house_nashville_2024-08-01_22_28.jpg
54,2024-08-02,TST*NADEENS HERMITAGE HA,39.52,Nadeen's Hermitage Haven,Nadeens - Breakfast,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/54_tst_nadeens_hermitage_ha_2024-08-02_39_52.jpg
55,2024-08-03,APPLE.COM/BILL,251.33,Apple,Apple - Taskade Pro (Annual),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/55_apple_store_2024-08-02_251_33.jpg
4369,2024-08-03,TASKADE PRO YEARLY,251.33,Taskade,Taskade Pro (Annual),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/inbox/1cc2a59db4d6.jpg
57,2024-08-05,SH NASHVILLE - OTHER,9.05,Soho House Nashville,Soho House Nashville - Meeting with Scott Siman (Em.co),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/57_soho_house_nashville_2024-08-05_9_05.png
58,2024-08-05,SH NASHVILLE - OTHER,38.78,Soho House Nashville,Soho House Nashville - Meeting with Tyler Stevens (Kinwoven),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/58_soho_house_nashville_2024-08-05_38_78.jpg
59,2024-08-05,SH NASHVILLE - OTHER,58.16,Soho House Nashville,Soho House Nashville - Meeting with Scott Siman (Em.co),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/59_soho_house_nashville_2024-08-05_58_15.jpg
60,2024-08-05,SH NASHVILLE F&B,53.98,Soho House Nashville,Soho House Nashville - Meeting with Tyler Stevens (Kinwoven),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/60_soho_house_nashville_2024-08-04_53_97.jpg
551,2024-08-05,METROPOLIS PARKING,21.00,Metropolis,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/551_metropolis_2024-08-06_21_00.jpg
61,2024-08-06,DISCO,82.32,DISCO,Disco Nashville - Industry dinner,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/61_disco_2024-08-06_82_31.jpg
62,2024-08-06,SH NASHVILLE - OTHER,18.10,Soho House Nashville,Soho House Nashville - Meeting with Rachel and Kevin Sabbe,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/62_sh_nashville_other_2024-08-06_18_10.jpg
63,2024-08-06,TST*HOMEGROWN TAPROOM &,84.20,Homegrown Taproom & Kitchen,Homegrown Taproom - Lunch with Rachel - Kevin Sabbe,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/63_homegrown_taproom_kitchen_2024-06-24_84_20.jpg
1625,2024-08-06,METROPOLIS PARKING,21.00,Metropolis,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1625_metropolis_parking_2024-08-06_21_00.jpg
64,2024-08-08,CALENDARBRIDGE,10.00,CalendarBridge,CalendarBridge - Calendar sync across accounts (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/64_calendarbridge_2024-08-08_10_00.jpg
65,2024-08-08,PMC - PAID PARKING,38.03,PMC,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/65_pmc_2024-08-08_38_03.jpg
66,2024-08-08,SPOTIFY USA,13.13,Spotify USA Inc.,Spotify Premium - Music research and industry tracking (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/66_spotify_usa_inc_2024-08-08_13_13.jpg
68,2024-08-10,APPLE.COM/BILL,9.99,Apple,Apple - Pythonista 3 (One-time),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/68_apple_com_bill_2024-08-10_17_51.jpg
69,2024-08-10,DD *DOORDASH EDLEYSBAR,119.34,Edley's Bar-B-Que,Edleys BBQ - Lunch delivery with Rachel - Alix Colby Teppel,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/69_edley_s_bar_b_que_2024-08-09_119_34.jpg
70,2024-08-10,MIDJOURNEY INC.,10.98,Midjourney Inc,Midjourney - Marketing - creative - pitch decks (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/70_midjourney_inc_2024-08-10_10_98.jpg
565,2024-08-10,DD *DOORDASH JIMNNICKS,94.10,Jim 'N Nicks,Jim N Nicks BBQ - Lunch delivery with Rachel - Kevin Sabbe,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/565_10_11_25_12_59am_2010-11-25_94_09.jpg
71,2024-08-11,APPLE.COM/BILL,17.55,Apple Store,Apple - Contacts App Premium (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/71_app_store_2024-07-14_17_55.jpg
72,2024-08-11,SUNO INC.,288.00,Suno,Suno AI - AI music generation platform (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/72_suno_2024-08-11_288_00.jpg
73,2024-08-13,O-KU NASHVILLE,58.21,O-Ku Sushi,O-Ku Nashville - Team lunch with Alex - Amo - Jason Ross - Rachel - Doug Phillips,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/73_soho_house_nashville_2024-08-05_58_15.jpeg
74,2024-08-13,OPTIMIST NASHVILLE,44.32,Char-Nashville,The Optimist Nashville - Dinner with Rachel - Jason Ross (Down Home),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/74_char_nashville_2024-07-12_43_60.jpg
75,2024-08-13,OPTIMIST NASHVILLE,896.44,The Optimist,The Optimist Nashville - Team dinner with Alex - Amo - Jason Ross - Rachel - Doug Phillips,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/75_optimist_nashville_2024-08-13_896_44.jpg
76,2024-08-14,CLOUDFLARE,5.00,Cloudflare,Cloudflare - CDN and DNS for Down Home websites (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/76_cloudflare_2025-01-14_5_00.jpg
77,2024-08-14,MAFIAOZAS,15.38,MAFIAoZA'S,Mafiaozas Nashville - Lunch with Rachel,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/77_mafiaozas_2024-08-14_14_15.jpg
78,2024-08-14,METROPOLIS PARKING,10.99,Metropolis,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/78_metropolis_2024-08-13_10_99.jpg
79,2024-08-14,PARK HAPPY LLC,8.85,Park Happy LLC,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/79_park_happy_llc_2024-08-14_8_84.jpg
578,2024-08-14,SH NASHVILLE - OTHER,27.14,Soho House Nashville,Soho House Nashville - Meeting with Dawn Gates (UMG Nashville),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/578_soho_house_nashville_2024-08-14_14_22.jpg
81,2024-08-15,APPLE.COM/BILL,76.81,Apple,Apple - LinkedIn Premium Business (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/81_apple_2024-08-15_76_81.jpg
82,2024-08-15,PARK HAPPY LLC,8.85,Park Happy LLC,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/82_park_happy_llc_2024-08-15_8_84.jpg
83,2024-08-15,SH NASHVILLE - OTHER,74.97,Soho House Nashville,Soho House Nashville - Meeting with Tim Staples (Shareability),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/83_soho_house_nashville_2024-08-15_74_96.jpg
84,2024-08-17,METROPOLIS PARKING,42.00,217 2nd Ave S Garage,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/84_metropolis_2024-08-17_42_00.jpg
85,2024-08-17,TM *PBR TEAMS,623.10,PBR: Nashville Stampede Days,PBR Nashville Stampede Days - Event tickets,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/85_pbr_nashville_stampede_days_2024-08-18_623_10.jpg
86,2024-08-18,METROPOLIS PARKING,31.50,222 2nd Ave Garage,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/86_metropolis_2024-08-18_31_50.jpg
87,2024-08-18,TST*LOSERS - DOWNTOWN,78.00,Losers - Downtown,Losers Nashville - PBR event dinner,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/87_losers_downtown_2024-08-18_76_00.jpg
89,2024-08-19,SH NASHVILLE - OTHER,51.70,Soho House Nashville,Soho House Nashville - Kate style roadmap meeting with Rachel,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/89_soho_house_nashville_2024-08-19_51_70.jpg
90,2024-08-19,SH NASHVILLE - OTHER,47.82,Soho House Nashville,Kate Style Roadmap - Lunch with Rachel,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/90_soho_house_nashville_2024-08-19_47_82.jpg
592,2024-08-19,SH NASHVILLE - OTHER,31.02,Soho House Nashville,Soho House Nashville - Kate style roadmap meeting with Rachel,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/592_soho_house_nashville_2024-08-19_31_01.png
91,2024-08-20,METROPOLIS PARKING,27.42,Metropolis,Parking - Meeting with Jason Ross (Down Home),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/91_metropolis_parking_2025-07-21_27_42.jpg
92,2024-08-20,PARK HAPPY LLC,10.26,Park Happy LLC,Parking - Meeting with Jason Ross (Down Home),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/92_park_happy_llc_2024-08-20_10_25.jpg
93,2024-08-20,PMC - PAID PARKING,23.21,PMC,Parking - Meeting with Jason Ross (Down Home),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/93_pmc_paid_parking_2024-08-20_23_21.jpg
94,2024-08-20,TST*PANCHO AND LEFTYS CA,28.39,PANCHO & LEFTY'S,Pancho & Leftys - Jigsaw Partners dinner,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/94_pancho_leftys_2024-08-20_28_39.jpg
95,2024-08-21,PMC - PAID PARKING,38.03,PMC,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/95_pmc_2024-08-21_38_03.jpg
98,2024-08-22,LINKEDIN JOB 9849229796,174.56,LinkedIn Corporation,LinkedIn - Job posting for Down Home position,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/98_linkedin_corporation_2024-08-22_174_56.jpg
99,2024-08-22,PMC - PAID PARKING,22.51,PMC Parking,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/99_pmc_2024-08-22_22_51.jpg
100,2024-08-22,PMC - PAID PARKING,29.28,PMC Parking,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/100_pmc_2024-08-22_29_28.jpg
102,2024-08-23,CORNER PUB,79.64,Corner Pub Green Hills,Corner Pub - Lunch with Scott Siman (Em.co),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/102_corner_pub_green_hills_2024-08-23_79_64.jpg
103,2024-08-23,METROPOLIS PARKING,10.99,Metropolis,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/103_metropolis_2024-08-23_10_99.jpg
107,2024-08-23,SH NASHVILLE - OTHER,9.05,Soho House Nashville,Soho House Nashville - Meeting with Scott Siman (Em.co),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/107_soho_house_nashville_2024-08-05_9_05.png
110,2024-08-24,CLAUDE.AI SUBSCRIPTION,21.95,Anthropic,Claude AI - AI assistant for content creation and coding (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/110_anthropic_2024-08-23_21_94.jpg
616,2024-08-24,PARK HAPPY LLC,7.63,Park Happy,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/616_itunes_store_2024-08-28_16_41.png
111,2024-08-25,ROSTR PRO,50.00,ROSTR  Inc,Rostr Pro - Music industry CRM and contacts (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/111_rostr_inc_2024-08-25_50_00.jpg
112,2024-08-26,IMDBPRO,19.99,IMDb.com  Inc.,IMDb Pro - Film/TV industry database (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/112_imdb_com_inc_2024-08-26_19_98.jpg
113,2024-08-26,PMC - PAID PARKING,23.21,PMC,Parking - Downtown meeting,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/113_pmc_2024-08-20_23_21.jpg
114,2024-08-26,SH NASHVILLE F&B,24.91,Soho House Nashville,Soho House Nashville - Meeting with Ben Kline (Red Light Management),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/114_soho_house_nashville_2024-06-26_24_91.jpg
