Index,Date,Amount,Merchant,Category,Status,Attention,AI_Confidence,Receipt_Merchant,Receipt_Total,Receipt_Date,Receipt_URL,Notes
772,2025-08-08,$13.13,SPOTIFY USA,Software & Subscriptions,good,VERIFIED (previous run),100%,Spotify,13.13,2025-08-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-08-08_13_13_3.jpg,
769,2025-08-07,$21.95,CURSOR AI POWERED IDE,Software & Subscriptions,good,VERIFIED (previous run),100%,Cursor,21.95,2025-08-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_ai_powered_ide_2025-08-07_21_95.jpg,
766,2025-08-02,$30.16,MONGODBCLOUD BRIANS...,General,good,VERIFIED (previous run),95%,MongoDB Atlas,30.16,2025-03-28,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mongodbcloud_brians_2025-08-02_30_16_3.jpg,
765,2025-08-01,$19.76,EXPENSIFY INC.,Software & Subscriptions,good,VERIFIED (previous run),100%,Expensify,19.76,2025-08-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-08-01_19_76_3.jpg,
763,2025-07-30,$5.00,EVERY STUDIO,Software & Subscriptions,good,VERIFIED (previous run),100%,Every Studio,5.00,2025-07-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-07-30_5_0.jpg,
764,2025-07-30,$20.00,VZWRLSS*PREPAID PYMNT,General,good,VERIFIED (previous run),100%,Verizon Wireless,20.00,2025-07-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssprepaid_pymnt_2025-07-30_20_0.jpg,
762,2025-07-28,$0.75,HIVE CO,Software & Subscriptions,good,VERIFIED (previous run),100%,Hive,0.75,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/hive_co_2025-07-28_0_75_3.jpg,
760,2025-07-25,$9.00,HUGGINGFACE,Software & Subscriptions,good,VERIFIED (previous run),100%,Hugging Face Inc,9.00,2025-07-24,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-07-25_9_0.jpg,
758,2025-07-24,$21.95,CLAUDE.AI SUBSCRIPTION,Software & Subscriptions,good,VERIFIED (previous run),100%,"Anthropic, PBC",21.95,2025-07-23,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-07-24_21_95.jpg,
759,2025-07-24,$23.45,VZWRLSS*ETM SCT1456901,General,good,VERIFIED (previous run),100%,Verizon Wireless,23.45,2025-07-24,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssetm_sct1456901_2025-07-24_23_45.jpg,
757,2025-07-21,$75.56,TST*LEMONGRASS SUSHI AND,Meals & Entertainment,good,VERIFIED (previous run),100%,Lemongrass Sushi and Thai,62.56,2025-07-21,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstlemongrass_sushi_and_2025-07-21_75_56_3.jpg,
753,2025-07-14,$10.00,CLOUDFLARE,Software & Subscriptions,good,VERIFIED (previous run),100%,CLOUDFLARE,10.00,2025-04-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-07-14_10_0.jpg,
751,2025-07-11,$5.00,EVERY STUDIO,Software & Subscriptions,good,VERIFIED (previous run),100%,Every Studio,5.00,2025-07-11,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-07-11_5_0.jpg,
747,2025-07-08,$21.86,CURSOR AI POWERED IDE,Software & Subscriptions,good,VERIFIED (previous run),95%,cursor october,20.20,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_ai_powered_ide_2025-07-08_21_86.jpg,
748,2025-07-08,$37.67,MONGODBCLOUD BRIANS...,General,good,VERIFIED (previous run),100%,Brian's Org - MongoDB,37.67,2025-03-28,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mongodbcloud_brians_2025-07-08_37_67_3.jpg,
749,2025-07-08,$13.13,SPOTIFY USA,Software & Subscriptions,good,VERIFIED (previous run),100%,Spotify,13.13,2025-08-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-07-08_13_13_3.jpg,
745,2025-07-01,$19.76,EXPENSIFY INC.,Software & Subscriptions,good,VERIFIED (previous run),100%,Expensify,19.76,2025-07-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-07-01_19_76_3.jpg,
744,2025-06-30,$32.93,MIDJOURNEY INC.,Software & Subscriptions,good,VERIFIED (previous run),100%,Midjourney Inc,32.93,2025-06-29,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-06-30_32_93.jpg,
742,2025-06-27,$32.32,PMC - PAID PARKING,Auto & Parking,good,VERIFIED (previous run),100%,PMC PARKING,32.32,2025-06-27,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-06-27_32_32.png,
740,2025-06-25,$109.84,CURSOR USAGE MID JUN,Software & Subscriptions,good,VERIFIED (previous run),100%,Cursor,109.84,2025-06-25,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_jun_2025-06-25_109_84.jpg,
738,2025-06-24,$21.95,CLAUDE.AI SUBSCRIPTION,Software & Subscriptions,good,VERIFIED (previous run),100%,"Anthropic, PBC",21.95,2025-06-23,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-06-24_21_95.jpg,
739,2025-06-24,$9.00,HUGGINGFACE,Software & Subscriptions,good,VERIFIED (previous run),100%,Hugging Face Inc,9.00,2025-06-23,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-06-24_9_0.jpg,
731,2025-06-14,$10.00,CLOUDFLARE,Software & Subscriptions,good,VERIFIED (previous run),100%,Cloudflare,10.00,2025-05-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-06-14_10_0.jpg,
729,2025-06-13,$9.00,SOURCEGRAPH INC,Software & Subscriptions,good,VERIFIED (previous run),80%,"Sourcegraph, Inc.",9.00,2024-10-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-06-13_9_0.jpg,
730,2025-06-13,$5.84,TST*THE FLOWER KITCHEN,Meals & Entertainment,good,VERIFIED (previous run),100%,The Flower Kitchen,5.84,2025-06-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstthe_flower_kitchen_2025-06-13_5_84.jpg,
724,2025-06-08,$10.00,CALENDARBRIDGE,Software & Subscriptions,good,VERIFIED (previous run),100%,CalendarBridge,10.00,2025-06-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-06-08_10_0.jpg,
725,2025-06-08,$55.84,CURSOR USAGE MAY,Software & Subscriptions,good,VERIFIED (previous run),100%,Cursor,55.84,2025-06-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_may_2025-06-08_55_84_3.jpg,
726,2025-06-08,$13.13,SPOTIFY USA,Software & Subscriptions,good,VERIFIED (previous run),100%,Spotify,13.13,2025-06-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-06-08_13_13_3.jpg,
719,2025-06-04,$79.25,CORNER PUB,Meals & Entertainment,good,VERIFIED (previous run),100%,The Original Corner Pub,79.25,2025-06-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2025-06-04_79_25_3.jpg,
716,2025-06-01,$19.76,EXPENSIFY INC.,Software & Subscriptions,good,VERIFIED (previous run),100%,Expensify,19.76,2025-06-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-06-01_19_76_3.jpg,
713,2025-05-31,$65.84,DASHLANE U* DASHLANE P,General,good,VERIFIED (previous run),100%,DASHLANE,65.84,2025-05-31,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dashlane_u_dashlane_p_2025-05-31_65_84_3.jpg,
710,2025-05-30,$5.00,EVERY STUDIO,Software & Subscriptions,good,VERIFIED (previous run),100%,Every Studio,5.00,2025-05-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-05-30_5_0.jpg,
711,2025-05-30,$32.93,MIDJOURNEY INC.,Software & Subscriptions,good,VERIFIED (previous run),100%,Midjourney Inc,32.93,2025-05-29,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-05-30_32_93.jpg,
705,2025-05-26,$9.99,COWBOY CHANNEL PLUS,Software & Subscriptions,good,VERIFIED (previous run),100%,Cowboy Channel Plus,9.99,2025-05-26,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cowboy_channel_plus_2025-05-26_9_99_3.jpg,
703,2025-05-24,$21.95,CLAUDE.AI SUBSCRIPTION,Software & Subscriptions,good,VERIFIED (previous run),100%,"Anthropic, PBC",21.95,2025-05-23,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-05-24_21_95.jpg,
702,2025-05-23,$9.00,HUGGINGFACE,Software & Subscriptions,good,VERIFIED (previous run),100%,Hugging Face Inc,9.00,2025-05-22,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-05-23_9_0.jpg,
694,2025-05-15,$60.00,AI.FYXER.COM,General,good,VERIFIED (previous run),100%,aifyxercom,15.60,2025-05-15,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/aifyxercom_2025-05-15_60_0.jpg,
695,2025-05-15,$54.86,ELEMENTOR.COM,General,good,VERIFIED (previous run),100%,Elementor Ltd.,54.86,2025-05-15,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/elementorcom_2025-05-15_54_86.jpg,
690,2025-05-14,$10.00,CLOUDFLARE,Software & Subscriptions,good,VERIFIED (previous run),100%,Cloudflare,10.00,2025-05-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-05-14_10_0.jpg,
691,2025-05-14,$49.00,RESPONSIVE-MENU-PRO-4,General,good,VERIFIED (previous run),100%,Responsive Menu Pro,49.00,2025-05-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/responsive_menu_pro_4_2025-05-14_49_0.jpg,
687,2025-05-13,$9.00,SOURCEGRAPH INC,Software & Subscriptions,good,VERIFIED (previous run),80%,"Sourcegraph, Inc.",9.00,2024-11-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-05-13_9_0.jpg,
688,2025-05-13,$120.00,TASKADE,General,good,VERIFIED (previous run),100%,TASKADE,120.00,2025-05-12,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/taskade_2025-05-13_120_0.jpg,
685,2025-05-10,$20.00,VZWRLSS*PREPAID PYMNT,General,good,VERIFIED (previous run),100%,VZWRLSS*PREPAID PYMNT,20.00,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssprepaid_pymnt_2025-05-10_20_0.jpg,
683,2025-05-09,$7.38,LAZ PARKING M32180-FLOWB,Auto & Parking,good,VERIFIED (previous run),100%,metropolis parking,9.21,2025-01-09,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32180_flowb_2025-05-09_7_38.jpg,
684,2025-05-09,$28.45,VIRGIN HOTEL - COMMONS,Travel,good,VERIFIED (previous run),100%,virgin hotel commons 2025 05 09 600,,2025-05-09,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/virgin_hotel_commons_2025-05-09_28_45.jpg,
681,2025-05-08,$10.00,CALENDARBRIDGE,Software & Subscriptions,good,VERIFIED (previous run),100%,CalendarBridge,10.00,2025-05-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-05-08_10_0.jpg,
682,2025-05-08,$13.13,SPOTIFY USA,Software & Subscriptions,good,VERIFIED (previous run),100%,Spotify,13.13,2025-05-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-05-08_13_13.jpg,
678,2025-05-07,$21.95,CURSOR AI POWERED IDE,Software & Subscriptions,good,VERIFIED (previous run),95%,cursor ai powered ide,7.21,2025-05-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_ai_powered_ide_2025-05-07_21_95.jpg,
679,2025-05-07,$1.27,CURSOR USAGE APR,Software & Subscriptions,good,VERIFIED (previous run),100%,cursor usage apr 2025 05 07 400,745.58,2025-05-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_apr_2025-05-07_1_27_3.jpg,
674,2025-05-02,$54.90,ANTHROPIC,Software & Subscriptions,good,VERIFIED (previous run),100%,"Anthropic, PBC",54.90,2025-05-02,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-05-02_54_9.jpg,
672,2025-05-01,$19.76,EXPENSIFY INC.,Software & Subscriptions,good,VERIFIED (previous run),100%,Expensify,19.76,2025-05-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-05-01_19_76_3.jpg,
667,2025-04-30,$5.00,EVERY STUDIO,Software & Subscriptions,good,VERIFIED (previous run),100%,Every Studio,5.00,2025-04-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-04-30_5_0.jpg,
668,2025-04-30,$32.93,MIDJOURNEY INC.,Software & Subscriptions,good,VERIFIED (previous run),100%,Midjourney Inc,32.93,2025-04-29,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-04-30_32_93.jpg,
671,2025-04-30,$7.79,SH NASHVILLE - OTHER,Meals & Entertainment,good,VERIFIED (previous run),,Soho House Nashville,7.79,2025-04-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-30_7_79.PNG,
654,2025-04-24,$21.95,CLAUDE.AI SUBSCRIPTION,Software & Subscriptions,good,VERIFIED (previous run),100%,"Anthropic, PBC",21.95,2025-04-23,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-04-24_21_95.jpg,
655,2025-04-24,$20.00,CURSOR USAGE MID APR,Software & Subscriptions,good,VERIFIED (previous run),90%,cursor usage mid apr,24.20,2025-04-24,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_apr_2025-04-24_20_0.jpg,
652,2025-04-22,$9.00,HUGGINGFACE,Software & Subscriptions,good,VERIFIED (previous run),100%,Hugging Face Inc,9.00,2025-04-21,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-04-22_9_0.jpg,
641,2025-04-14,$10.00,CLOUDFLARE,Software & Subscriptions,good,VERIFIED (previous run),100%,CLOUDFLARE,10.00,2025-04-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-04-14_10_0.jpg,
635,2025-04-13,$20.00,CURSOR USAGE MID APR,Software & Subscriptions,good,VERIFIED (previous run),,cursor usage mid apr,13.20,2025-04-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_apr_2025-04-13_20_0.jpg,
636,2025-04-13,$25.05,DD *DOORDASH BROTHERSP,Meals & Entertainment,good,VERIFIED (previous run),100%,Brother's Pizza,25.05,2025-04-12,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_brothersp_2025-04-13_25_05_3.jpg,
639,2025-04-13,$9.00,SOURCEGRAPH INC,Software & Subscriptions,good,VERIFIED (previous run),85%,"Sourcegraph, Inc.",9.00,2024-11-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-04-13_9_0.jpg,
631,2025-04-12,$11.27,TST*WHITE RHINO COFFEE -,Meals & Entertainment,good,VERIFIED (previous run),100%,YCV VF,11.27,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstwhite_rhino_coffee_2025-04-12_11_27.jpg,
629,2025-04-12,$318.28,KIT.COM,General,good,VERIFIED (previous run),100%,Kit,318.28,2025-04-12,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/kitcom_2025-04-12_318_28.jpg,
627,2025-04-11,$21.00,METROPOLIS PARKING,Auto & Parking,good,VERIFIED (previous run),100%,metropolis,21.00,2025-04-10,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-11_21_0.jpg,
624,2025-04-10,$32.44,SH NASHVILLE - OTHER,Meals & Entertainment,good,VERIFIED (previous run),,Soho House Nashville,32.44,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-10_32_44.PNG,
621,2025-04-08,$10.00,CALENDARBRIDGE,Software & Subscriptions,good,VERIFIED (previous run),100%,CalendarBridge,10.00,2025-04-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-04-08_10_0.jpg,
622,2025-04-08,$13.13,SPOTIFY USA,Software & Subscriptions,good,VERIFIED (previous run),80%,SPOTIFY USA,13.13,2025-05-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-04-08_13_13_3.jpg,
623,2025-04-08,$92.19,TOPAZ LABS SOFTWARE,General,good,VERIFIED (previous run),100%,Topaz Labs,92.19,2025-04-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/topaz_labs_software_2025-04-08_92_19.jpg,
618,2025-04-07,$20.00,CURSOR AI POWERED IDE,Software & Subscriptions,good,VERIFIED (previous run),100%,Cursor,20.00,2025-04-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_ai_powered_ide_2025-04-07_20_0.jpg,
617,2025-04-06,$20.00,CURSOR USAGE MID APR,Software & Subscriptions,good,VERIFIED (previous run),,cursor usage mid apr,6.20,2025-04-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_apr_2025-04-06_20_0.jpg,
612,2025-04-04,$33.74,SH NASHVILLE - OTHER,Meals & Entertainment,good,VERIFIED (previous run),,Soho House Nashville,33.31,2023-09-20,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-04_33_74.PNG,
607,2025-04-02,$109.75,ANTHROPIC,Software & Subscriptions,good,VERIFIED (previous run),100%,"Anthropic, PBC",109.75,2025-04-02,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-04-02_109_75.jpg,
608,2025-04-02,$27.44,ANTHROPIC,Software & Subscriptions,good,VERIFIED (previous run),100%,"Anthropic, PBC",27.44,2025-04-02,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-04-02_27_44.jpg,
604,2025-04-01,$27.44,ANTHROPIC,Software & Subscriptions,good,VERIFIED (previous run),100%,"Anthropic, PBC",27.44,2025-04-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-04-01_27_44.jpg,
605,2025-04-01,$19.76,EXPENSIFY INC.,Software & Subscriptions,good,VERIFIED (previous run),100%,Expensify,19.76,2025-04-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-04-01_19_76_3.jpg,
601,2025-03-31,$20.00,CURSOR USAGE MID MAR,Software & Subscriptions,good,VERIFIED (previous run),,cursor usage mid mar,31.20,2025-03-31,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-31_20_0.jpg,
602,2025-03-31,$21.00,METROPOLIS PARKING,Auto & Parking,good,VERIFIED (previous run),100%,metropolis,21.00,2025-03-31,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-31_21_0.jpg,
603,2025-03-31,$36.88,SH NASHVILLE F&AMP;B,Meals & Entertainment,good,VERIFIED (previous run),100%,Soho House Nashville,36.88,2025-03-15,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2025-03-31_36_88.jpg,
600,2025-03-30,$32.93,MIDJOURNEY INC.,Software & Subscriptions,good,VERIFIED (previous run),100%,Midjourney Inc,32.93,2025-03-29,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-03-30_32_93.jpg,
598,2025-03-29,$47.88,ELEMENTOR.COM,General,good,VERIFIED (previous run),100%,Elementor Ltd.,47.88,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/elementor-invoice-ZINV00318467.jpg,
594,2025-03-28,$20.00,CURSOR USAGE MID MAR,Software & Subscriptions,good,VERIFIED (previous run),,Cursor,20.00,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-28_20_0.jpg,
593,2025-03-25,$30.73,PMC - PAID PARKING,Auto & Parking,good,VERIFIED (previous run),100%,PMC PARKING,30.73,2025-03-25,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-03-25_30_73.png,
590,2025-03-25,$66.83,12 SOUTH TAPROOM &AMP; GRILL,Meals & Entertainment,good,VERIFIED (previous run),100%,12 South Taproom,66.83,2025-03-25,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2025-03-25_66_83.jpg,
591,2025-03-25,$36.72,METROPOLIS PARKING,Auto & Parking,good,VERIFIED (previous run),100%,,,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-25_36_72.jpg,
592,2025-03-25,$48.00,OBSIDIAN.MD,General,good,VERIFIED (previous run),100%,Obsidian,48.00,2025-03-25,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/obsidianmd_2025-03-25_48_0.jpg,
587,2025-03-24,$21.95,CLAUDE.AI SUBSCRIPTION,Software & Subscriptions,good,VERIFIED (previous run),100%,"Anthropic, PBC",21.95,2025-03-23,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-03-24_21_95.jpg,
588,2025-03-24,$26.65,DD *DOORDASH SHIPLEYDO,Meals & Entertainment,good,VERIFIED (previous run),100%,Shipley Donuts,26.65,2025-03-23,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_shipleydo_2025-03-24_26_65.jpg,
583,2025-03-22,$46.45,TST* TWO HANDS - NASHVILL,Meals & Entertainment,good,VERIFIED (previous run),100%,two hands nashvill 2025 03 22 700,,2025-03-22,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_two_hands_nashvill_2025-03-22_46_45.jpg,
580,2025-03-21,$9.00,HUGGINGFACE,Software & Subscriptions,good,VERIFIED (previous run),100%,Hugging Face Inc,9.00,2025-03-20,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-03-21_9_0.jpg,
578,2025-03-20,$20.00,CURSOR USAGE MID MAR,Software & Subscriptions,good,VERIFIED (previous run),30%,cursor usage mid mar,20.20,2025-03-20,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-20_20_0.jpg,
572,2025-03-13,$36.75,METROPOLIS PARKING,Auto & Parking,good,VERIFIED (previous run),100%,Metropolis,36.75,2025-03-12,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-13_36_75_3.jpg,
570,2025-03-11,$20.00,CURSOR USAGE MID MAR,Software & Subscriptions,GOOD,VERIFIED (previous run),100%,Cursor,20.00,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-11_20_0.jpg,
567,2025-03-08,$10.00,CALENDARBRIDGE,Software & Subscriptions,good,VERIFIED (previous run),100%,CalendarBridge,10.00,2025-03-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-03-08_10_0.jpg,
