REF NO.,DATE,CATEGORY,CLIENT: PROJECT,FOREIGN AMOUNT,EXCHANGE RATE,CURRENCY,AMOUNT,DEPARTMENT,LINE OF BUSINESS,OFFICE,BILLABLE,MEMO,RECEIPT,ATTACH FILE,CORPORATE CARD,CARD HOLDER NUMBER
19,11/19/25,DH: Travel Costs - Gas/Rental Car,,8.0,1,USD,8.0,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/832_18th_and_chet_2025-11-19_8_00.jpg,,
20,11/18/25,DH: Travel Costs - Gas/Rental Car,,8.99,1,USD,8.99,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4293_parking_818_18th_ave_s_2025-11-18_8_99.png,,
21,11/1/25,Software subscriptions,,52.68,1,USD,52.68,CEO,,,,Notion - Wiki and documentation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1619_notion_labs_inc_2025-11-01_52_68.jpg,,
22,11/1/25,Company Meetings and Meals,,24.99,1,USD,24.99,CEO,,,,Meeting Reminder app (Annual),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/inbox/09a589dc6427.jpg,,
23,10/30/25,Software subscriptions,,109.75,1,USD,109.75,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4312_claude_2025-10-30_109_75.jpg,,
24,10/28/25,Software subscriptions,,5.0,1,USD,5.0,CEO,,,,Railway - Cloud hosting for Down Home web apps (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/831_railway_corporation_2025-10-28_5_00.png,,
25,10/27/25,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4313_midjourney_2025-10-27_32_93.jpg,,
26,10/27/25,Software subscriptions,,37.95,1,USD,37.95,CEO,,,,Apple - Apple One Monthly,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4341_apple_icloud____apple_one_bundle_2025-10-27_37_95.png,,
27,10/26/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/850_anthropic_pbc_2025-10-26_21_95.png,,
28,10/23/25,Company Meetings and Meals,,50.0,1,USD,50.0,CEO,,,,Coffee with Rachel Reynolds (WXNA),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/861_the_donelson_pub_2025-10-23_50_00.jpeg,,
29,10/23/25,Company Meetings and Meals,,44.17,1,USD,44.17,CEO,,,,Corner Pub - Meeting with Colleen Taylor (Mighty Loud),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4299_corner_pub_green_hills_2025-10-23_44_17.png,,
30,10/22/25,Software subscriptions,,158.04,1,USD,158.04,CEO,,,,Runway AI - Video editing and AI effects (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/829_runway_2025-10-22_158_03.jpg,,
31,10/21/25,Company Meetings and Meals,,334.0,1,USD,334.0,CEO,,,,TSA CLEAR - Expedited airport security,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1613_clear_clearmecom_2025-10-21_334_00.jpg,,
32,10/21/25,Company Meetings and Meals,,64.67,1,USD,64.67,CEO,Down Home : Music,,,Twelve Thirty Club - Dinner with Cindy Mabe (UMG SVP),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4297_the_twelve_thirty_club_2025-10-21_64_67.png,,
33,10/16/25,Company Meetings and Meals,,13.17,1,USD,13.17,CEO,Down Home : Music,,,Soho House Nashville - Meeting with Devin Ford (CMA),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4295_sh_nashville_2025-10-16_13_17.png,,
34,10/15/25,DH: Travel Costs - Gas/Rental Car,,16.29,1,USD,16.29,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/854_icon_garage_2025-10-15_16_29.jpg,,
35,10/13/25,Company Meetings and Meals,,158.04,1,USD,158.04,CEO,,,,Beautiful.ai - Presentation software for pitches (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/843_beautiful_slides_inc_2025-10-13_158_04.png,,
36,10/9/25,Company Meetings and Meals,,15.8,1,USD,15.8,CEO,Down Home : Music,,,Soho House Nashville - Meeting with Jay Orr (CMHOF),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/865_soho_house_nashville_2025-10-09_15_80.jpg,,
37,10/7/25,DH: Travel Costs - Gas/Rental Car,,9.82,1,USD,9.82,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/853_gulch_crossing_garage_2025-10-07_9_82.jpg,,
38,10/6/25,Software subscriptions,,20.0,1,USD,20.0,CEO,,,,Ideogram AI - AI logo and graphic design tool (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/845_ideogram_ai_2025-10-06_20_00.png,,
39,10/4/25,Software subscriptions,,5.68,1,USD,5.68,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1605_anthropic_2025-10-04_5_68.png,,
40,10/3/25,Software subscriptions,,20.0,1,USD,20.0,CEO,,,,Ideogram AI - AI logo and graphic design tool (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1603_ideogram_ai_2025-10-03_20_00.jpg,,
41,10/1/25,Company Meetings and Meals,,15.57,1,USD,15.57,CEO,,,,Soho House Nashville - Coffee with Mandy Goenner (Taillight),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/859_soho_house_nashville_2025-10-01_15_57.jpg,,
42,9/29/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/844_anthropic_pbc_2025-09-29_21_95.png,,
43,9/27/25,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/847_midjourney_inc_2025-09-27_32_93.png,,
44,9/27/25,Software subscriptions,,37.95,1,USD,37.95,CEO,,,,Apple - Apple One Monthly,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4342_apple_icloud____apple_one_bundle_2025-09-27_37_95.png,,
45,9/23/25,DH: Travel Costs - Gas/Rental Car,,44.1,1,USD,44.1,CEO,Down Home : Music,,,Parking - Music Row meetings,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4292_parking_501_commerce_st_2025-09-23_44_10.png,,
46,9/10/25,Software subscriptions,,120.0,1,USD,120.0,CEO,,,,Taskade - shared with Celeste (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4265_taskade_2025-09-10_120_00.jpg,,
47,9/1/25,Software subscriptions,,19.76,1,USD,19.76,CEO,,,,Expensify - Expense tracking and reporting (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1593_expensify_inc_2025-09-01_19_76.jpg,,
48,8/28/25,Software subscriptions,,20.0,1,USD,20.0,CEO,,,,Ideogram AI - AI logo and graphic design tool (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1589_ideogram_ai_2025-08-28_20_00.jpg,,
49,8/27/25,Software subscriptions,,37.95,1,USD,37.95,CEO,,,,Apple - Apple One Monthly,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4343_apple_icloud____apple_one_bundle_2025-08-27_37_95.png,,
50,8/27/25,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4348_midjourney_inc_2025-08-27_32_93.jpg,,
51,8/26/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Hugging Face - AI/ML model hosting and development (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1585_huggingface_2025-08-26_9_00.jpg,,
52,8/24/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/780_anthropic_pbc_2025-08-24_21_95.jpg,,
53,8/16/25,Company Meetings and Meals,,19.99,1,USD,19.99,CEO,,,,DaVinci AI - Video editing tools (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1577_davinci_ai_2025-08-16_19_99.jpg,,
54,8/14/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1571_cloudflare_2025-08-14_10_00.jpg,,
55,8/9/25,DH: Travel Costs - Gas/Rental Car,,40.39,1,USD,40.39,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1567_pmc_paid_parking_2025-08-09_40_39.png,,
56,8/8/25,Company Meetings and Meals,,49.25,1,USD,49.25,CEO,,,,Belmont University - Film/TV meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/inbox/fisher_pac_belmont_d643423ea89b.png,,
57,8/8/25,Software subscriptions,,13.13,1,USD,13.13,CEO,Down Home : Music,,,Spotify Premium - Music research and industry tracking (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1565_spotify_usa_2025-08-08_13_13.jpg,,
58,8/2/25,Company Meetings and Meals,,30.16,1,USD,30.16,CEO,,,,MongoDB Atlas - Database hosting for Down Home apps (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1553_mongodbcloud_brians_2025-08-02_30_16.jpg,,
59,8/1/25,Software subscriptions,,19.76,1,USD,19.76,CEO,,,,Expensify - Expense tracking and reporting (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1551_expensify_inc_2025-08-01_19_76.jpg,,
60,7/30/25,Company Meetings and Meals,,5.0,1,USD,5.0,CEO,,,,Every Studio - Marketing graphics and social media design (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1547_every_studio_2025-07-30_5_00.jpg,,
61,7/30/25,Company Meetings and Meals,,20.0,1,USD,20.0,CEO,,,,Verizon - Prepaid mobile hotspot (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1549_vzwrlssprepaid_pymnt_2025-07-30_20_00.jpg,,
62,7/27/25,Software subscriptions,,37.95,1,USD,37.95,CEO,,,,Apple - Apple One Monthly,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4344_apple_icloud____apple_one_bundle_2025-07-27_37_95.png,,
63,7/25/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Hugging Face - AI/ML model hosting and development (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1541_huggingface_2025-07-25_9_00.jpg,,
64,7/24/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1537_anthropic_pbc_2025-07-23_21_94.jpg,,
65,7/24/25,Company Meetings and Meals,,23.45,1,USD,23.45,CEO,,,,Verizon - Prepaid mobile hotspot (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1539_verizon_wireless_2025-07-24_23_44.jpg,,
66,7/21/25,Company Meetings and Meals,,75.56,1,USD,75.56,CEO,Down Home : Music,,,Lemongrass Sushi - Lunch with Dawn Gates (UMG Nashville),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1535_lemongrass_sushi_and_thai_2025-07-21_62_56.jpg,,
67,7/14/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1527_cloudflare_2025-04-14_10_00.jpg,,
68,7/11/25,Company Meetings and Meals,,5.0,1,USD,5.0,CEO,,,,Every Studio - Marketing graphics and social media design (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1523_every_studio_2025-07-11_5_00.jpg,,
69,7/8/25,Company Meetings and Meals,,37.67,1,USD,37.67,CEO,,,,MongoDB Atlas - Database hosting for Down Home apps (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1517_brian_s_org_mongodb_2025-03-28_37_67.jpg,,
70,7/8/25,Software subscriptions,,13.13,1,USD,13.13,CEO,Down Home : Music,,,Spotify Premium - Music research and industry tracking (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1519_spotify_2025-08-08_13_13.jpg,,
71,7/1/25,Software subscriptions,,19.76,1,USD,19.76,CEO,,,,Expensify - Expense tracking and reporting (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1511_expensify_2025-07-01_19_76.jpg,,
72,6/30/25,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1509_midjourney_inc_2025-06-29_32_92.jpg,,
73,6/27/25,DH: Travel Costs - Gas/Rental Car,,32.32,1,USD,32.32,CEO,,,,Parking - Film TV meetings,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/153_pmc_parking_2025-06-27_32_32.png,,
74,6/24/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1497_anthropic_pbc_2025-06-23_21_94.jpg,,
75,6/24/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Hugging Face - AI/ML model hosting and development (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1499_hugging_face_inc_2025-06-23_9_00.jpg,,
76,6/14/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1483_cloudflare_2025-05-14_10_00.jpg,,
77,6/13/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Sourcegraph - Code search and intelligence (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1479_sourcegraph_inc_2024-10-13_9_00.jpg,,
78,6/13/25,Company Meetings and Meals,,5.84,1,USD,5.84,CEO,,,,The Flower Kitchen - Coffee with Rachel Reynolds (WXNA),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1481_the_flower_kitchen_2025-06-13_5_83.jpg,,
79,6/8/25,Company Meetings and Meals,,20.0,1,USD,20.0,CEO,,,,Verizon - Prepaid mobile hotspot autopay (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/152_n_a_2025-06-08_20_00.png,,
80,6/8/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,CalendarBridge - Calendar sync across accounts (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1469_calendarbridge_2025-06-08_10_00.jpg,,
81,6/8/25,Software subscriptions,,13.13,1,USD,13.13,CEO,Down Home : Music,,,Spotify Premium - Music research and industry tracking (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1473_spotify_2025-06-08_13_13.jpg,,
82,6/4/25,Company Meetings and Meals,,79.25,1,USD,79.25,CEO,,,,Corner Pub - Meeting with Scott Siman (Em.co),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1461_the_original_corner_pub_2025-06-04_79_25.jpg,,
83,6/1/25,Software subscriptions,,19.76,1,USD,19.76,CEO,,,,Expensify - Expense tracking and reporting (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1457_expensify_2025-06-01_19_76.jpg,,
84,5/31/25,Software subscriptions,,65.84,1,USD,65.84,CEO,,,,Dashlane - Password manager for security (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1451_dashlane_2025-05-31_65_84.jpg,,
85,5/30/25,Company Meetings and Meals,,5.0,1,USD,5.0,CEO,,,,Every Studio - Marketing graphics and social media design (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1445_every_studio_2025-05-30_5_00.jpg,,
86,5/30/25,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1447_midjourney_inc_2025-05-29_32_92.jpg,,
87,5/26/25,DH: Travel Costs - Gas/Rental Car,,27.44,1,USD,27.44,CEO,,,,Parking - Truist Plaza venue meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4300_truist_plaza_parking_2025-05-26_27_44.png,,
88,5/24/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1438_anthropic_pbc_2025-05-23_21_94.jpg,,
89,5/23/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Hugging Face - AI/ML model hosting and development (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1437_hugging_face_inc_2025-05-22_9_00.jpg,,
90,5/15/25,Software subscriptions,,60.0,1,USD,60.0,CEO,Down Home : Music,,,AI Fyxer - AI audio enhancement for music (Monthly) - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1429_missing_receipt_form.png,,
91,5/15/25,Software subscriptions,,54.86,1,USD,54.86,CEO,,,,Elementor Pro - Website builder for Down Home sites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1430_elementor_ltd_2025-05-15_54_85.jpg,,
92,5/14/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1425_cloudflare_2025-05-14_10_00.jpg,,
93,5/14/25,Company Meetings and Meals,,49.0,1,USD,49.0,CEO,,,,Responsive Menu Pro (Annual),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1426_responsive_menu_pro_2025-05-14_49_00.jpg,,
94,5/13/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Sourcegraph - Code search and intelligence (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1422_sourcegraph_inc_2024-11-13_9_00.jpg,,
95,5/13/25,Software subscriptions,,120.0,1,USD,120.0,CEO,,,,Taskade - Project management and collaboration (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1423_taskade_2025-05-12_120_00.jpg,,
96,5/10/25,Company Meetings and Meals,,20.0,1,USD,20.0,CEO,,,,Verizon Prepaid - Mobile hotspot for remote work,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1420_vzwrlss_prepaid_pymnt_2025-05-10_20_00.jpg,,
97,5/9/25,DH: Travel Costs - Gas/Rental Car,,7.38,1,USD,7.38,CEO,,,,LAZ Parking - Downtown Nashville meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1418_laz_parking_m32180_flowb_2025-05-09_7_37.png,,
98,5/9/25,DH: Travel Costs - Hotel/Lodging,PROJ299 Music City Rodeo,28.45,1,USD,28.45,CEO,Down Home : Music,,,Virgin Hotel Commons Club - Drinks with Tyler Stevens (Kinwoven) - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1419_missing_receipt_form.png,,
99,5/8/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,CalendarBridge - Calendar sync across accounts (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1416_calendarbridge_2025-05-08_10_00.jpg,,
100,5/8/25,Software subscriptions,,13.13,1,USD,13.13,CEO,Down Home : Music,,,Spotify Premium - Music research and industry tracking (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1417_spotify_2025-05-08_13_13.jpg,,
101,5/8/25,Company Meetings and Meals,,74.31,1,USD,74.31,CEO,Down Home : Music,,,Broadway Brewhouse - Meeting with Tom Lord (Red Light Management),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4303_broadway_brewhouse_2025-05-08_74_31.png,,
102,5/2/25,Software subscriptions,,54.9,1,USD,54.9,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1409_anthropic_pbc_2025-05-02_54_89.jpg,,
103,5/1/25,Software subscriptions,,19.76,1,USD,19.76,CEO,,,,Expensify - Expense tracking and reporting (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1408_expensify_2025-05-01_19_76.jpg,,
